city_name,latitude,longitude
Graz,47.067001,15.45
Innsbruck,47.266998,11.4
Klagenfurt,46.625,14.305
Linz,48.299999,14.3
Salzburg,47.799999,13.033
Wien (Vienna),48.200001,16.367001
Aalst (Alost),50.932999,4.033
"Antwerpen (Anvers, Antwerp)",51.216999,4.4169998
Brugge (bruges),51.216999,3.233
Bruxelles (brussels),50.833,4.3330002
"Gent (Gand, Ghent)",51.049999,3.717
Ieper (Ypres),50.849998,2.8829999
Kortrijk (Courtrai),50.833,3.267
"Leuven (Loewen, Louvain)",50.882999,4.6999998
"Liege (Luik, Luettich)",50.632999,5.5669999
Lier,51.132999,4.5669999
Lokeren,51.099998,3.983
Mechelen (Malines),51.033001,4.467
Mons (Bergen),50.450001,3.9330001
Namur (Namen),50.466999,4.8670001
Ostende,51.216999,2.9170001
St-Niklaas,51.167,4.1329999
Tournai (Doornik),50.599998,3.3829999
Verviers,50.583,5.8670001
Ceske Budejovice (Budweis),48.983002,14.467
Jihlava (Iglau),49.400002,15.583
Kutna Hora (Kuttenberg),49.950001,15.267
Liberec (Reichenberg),50.783001,15.05
Olomouc (Olmuetz),49.583,17.25
Plzen (Pilsen),49.75,13.367
"Praha (Prag, Prague)",50.083,14.467
"Kobenhaven (Copenhagen, Kopenhagen)",55.667,12.583
Turku (Abbo),60.450001,22.283001
Abbeville,50.099998,1.8329999
Agen,44.200001,0.63300002
Aix,43.533001,5.4330001
Albi,43.932999,2.1500001
Alencon,48.432999,0.082999997
Amiens,49.900002,2.3
Angers,47.466999,-0.55000001
Arles,43.667,4.6329999
Arras (Atrecht),50.283001,2.783
Auch,43.650002,0.583
Auxerre,47.799999,3.5669999
Avignon,43.950001,4.8169999
Bar-le-duc,48.783001,5.1669998
Bastia,42.702999,9.4499998
Bayeux,49.266998,-0.69999999
Bayonne,43.483002,-1.483
Beauvais,49.432999,2.0829999
Besancon,47.25,6.033
Beziers,43.349998,3.25
Blois,47.583,1.3329999
Bordeaux,44.833,-0.56699997
Bourges,47.083,2.4000001
Brest,48.400002,-4.4829998
Caen,49.182999,-0.34999999
Cahors,44.432999,1.433
Cambrai,50.167,3.233
Carcassonne,43.216999,2.3499999
Castres,43.599998,2.25
Chalons-sur-Marne,48.950001,4.3670001
Chalon-sur-saone,46.783001,4.8499999
Chambery,45.599998,5.9000001
Chartres,48.450001,1.5
Cherbourg,49.650002,-1.65
Clermont-Ferrand,45.783001,3.0829999
Colmar,48.083,7.3670001
Dieppe,49.932999,1.0829999
Dijon,47.317001,5.0170002
Dinan,48.450001,-2.033
Douai,50.367001,3.0669999
"Dunkerque (Duinkerken, Duenkirchen)",51.049999,2.3670001
Evreux,49.016998,1.15
Falaise,48.900002,-0.2
Grenoble,45.167,5.717
Hondschoote,50.983002,2.5829999
La Rochelle,46.167,-1.15
Laon,49.567001,3.6170001
Laval,48.067001,-0.76700002
Le Havre,49.5,0.133
Le Mans,48.0,0.2
Le Puy (- en Velay),45.029999,3.8800001
Lille (Rijssel),50.632999,3.0669999
Limoges,45.849998,1.25
Lisieux,49.150002,0.233
Luneville,48.599998,6.5
Lyon,45.75,4.8499999
Macon,46.299999,4.8330002
Marseille,43.299999,5.4000001
Metz,49.132999,6.1669998
Montauban,44.016998,1.35
Montpellier,43.599998,3.8829999
Nancy,48.682999,6.1999998
Nantes,47.216999,-1.55
Narbonne,43.182999,3.0
Nevers,46.983002,3.1670001
Nice,43.700001,7.25
Nimes,43.833,4.3499999
Orleans,47.917,1.9
Paris,48.867001,2.3329999
Perpignan,42.682999,2.8829999
Poitiers,46.583,0.333
Provins,48.549999,3.3
Reims,49.25,4.033
Rennes,48.083,-1.683
Riom,45.900002,3.1170001
Rochefort,45.939999,-0.95999998
Rouen,49.432999,1.0829999
Saumur,47.266998,-0.082999997
Sedan,49.700001,4.9499998
Sete,43.400002,3.6830001
St Omer,50.75,2.25
Steenvoorde,50.799999,2.5829999
St-Etienne,45.43,4.3899999
St-Germain,48.900002,2.0829999
St-Jean-d'Angely,45.950001,-0.51700002
St-Malo,48.639999,-2.0799999
St-Quentin,49.849998,3.29
Strasbourg (Strassburg),48.583,7.75
Tarascon,43.799999,4.6669998
Tarbes,43.233002,0.082999997
Toulon,43.117001,5.9330001
Toulouse,43.599998,1.433
Tourcoing,50.716999,3.1500001
Tours,47.382999,0.68300003
Troyes,48.299999,4.0830002
Valenciennes,50.349998,3.533
Versailles,48.799999,2.1329999
Vienne,45.516998,4.8670001
Villefranche-de-Rouergue,44.349998,2.05
Villeneuve,44.419998,0.72000003
Aachen,50.766998,6.0999999
Altona,53.549999,9.9329996
Ansbach,49.299999,10.583
Augsburg,48.367001,10.883
Bamberg,49.867001,10.867
Barmen,51.283001,7.217
Bautzen,51.182999,14.433
Bayreuth,49.950001,11.583
Berlin,52.516998,13.4
Bonn,50.733002,7.0999999
Brandenburg,52.417,12.55
Braunschweig,52.266998,10.533
Bremen,53.083,8.8000002
Chemnitz (olim Karl-Marx-Stadt),50.833,12.917
Dessau,51.833,12.25
Dresden,51.049999,13.75
Duesseldorf,51.216999,6.7670002
Elberfeld,51.266998,7.1329999
Emden,53.367001,7.217
Erfurt,50.983002,11.033
Flensburg,54.783001,9.4329996
Frankfurt a Main,50.117001,8.6829996
Frankfurt a Oder,52.349998,14.55
Freiberg,50.917,13.367
Freiburg,48.0,7.8499999
Fuerth,49.466999,10.967
Goerlitz,51.167,15.0
Goslar,51.900002,10.433
Gotha,50.950001,10.717
Halberstadt,51.900002,11.05
Halle,51.5,12.0
Hamburg,53.549999,10.0
Hanau,50.132999,8.9169998
Hannover,52.367001,9.717
Heidelberg,49.419998,8.7200003
Hildesheim,52.150002,9.967
Kassel,51.317001,9.5
Koeln,50.932999,6.9499998
Krefeld,51.333,6.5669999
Leipzig,51.299999,12.333
Luebeck,53.867001,10.7
Lueneburg,53.25,10.4
Magdeburg,52.167,11.667
Mainz,49.998001,8.2729998
Mannheim,49.487999,8.4650002
Mecklenburg,53.849998,11.467
Muelheim an der Ruhr,51.432999,6.8829999
Muenchen,48.150002,11.583
Muenster,51.966999,7.6329999
Noerdlingen,48.849998,10.5
Nuernberg,49.450001,11.083
Osnabrueck,52.266998,8.0500002
Passau,48.583,13.483
Ppotsdam,52.400002,13.067
Prenzlau,53.317001,13.867
Quedlinburg,51.783001,11.15
Regensburg,49.016998,12.1
Rostock,54.083,12.133
Schwerin,53.632999,11.383
Soest,51.583,8.1169996
Speyer,49.320999,8.4320002
Stralsund,54.299999,13.1
Stuttgart,48.766998,9.1829996
Trier,49.75,6.6329999
Ulm,48.567001,10.05
Worms,49.636002,8.3599997
Wuerzburg,49.797001,9.9490004
Bekes,46.766998,21.132999
Bekescsaba (Tschabe),46.682999,21.1
Buda,47.5,19.033001
Dbrecen (Debreczin),47.533001,21.632999
Gyoengyoes,47.783001,19.933001
Gyoer (Raab),47.682999,17.632999
Hodmezoevasarhely,46.417,20.333
Jaszbereny,47.5,19.917
Kecskemet,46.900002,19.783001
Mako (Makowa),46.216999,20.483
Miskolc,48.099998,20.783001
Pest,47.5,19.083
Sopron (Oedenburg),47.682999,16.6
Szeged (Szegedin),46.25,20.167
Szekesfehervar (Stuhlweissenburg),47.200001,18.417
Armagh,53.917,-7.5830002
Belfast,54.583,-5.9330001
Cork,51.898998,-8.4960003
Drogheda,53.716999,-6.3499999
Dublin,53.333,-6.25
Dundalk,54.0,-6.4169998
Galway,53.271999,-9.0489998
Kilkenny,52.653999,-7.2519999
Kilmallock,52.400002,-8.5769997
Limerick,52.665001,-8.6230001
Londonderry,55.0,-7.3330002
New-Ross,52.396999,-6.9369998
Waterford,52.257999,-7.112
Wexford,52.334,-6.4580002
Acireale,37.617001,15.167
Afragola,40.917,14.3
Agrigento,37.317001,13.567
Alessandria,44.900002,8.6169996
Altamura,40.817001,16.549999
Amalfi,40.632999,14.6
Ancona,43.632999,13.5
Andria,41.216999,16.283001
Araiano Irpino,41.150002,15.08
Arezzo,43.417,11.883
Arpino,41.650002,13.6
Ascoli Piceno,42.849998,13.567
Asti,44.900002,8.1999998
Augusta,37.216999,15.217
Aversa,40.966999,14.2
Bari,41.132999,16.85
Barletta,41.317001,16.283001
Bassano,45.77,11.73
Benevento (Benevent),41.132999,14.75
Bergamo,45.682999,9.717
Bisceglie,41.233002,16.5
Bitonto,41.099998,16.683001
Bologna,44.483002,11.333
