matched_city,century,domain_level1,city_lat,city_lon,count
"(Gazi)Antep (Ayntab, Antaph, Hamtab, Ayintab)",1800.0,Culture,37.07,37.389999,1
Aachen,1400.0,Culture,50.766998,6.0999999,1
Aachen,1500.0,Culture,50.766998,6.0999999,3
Aachen,1600.0,Culture,50.766998,6.0999999,6
Aachen,1700.0,Culture,50.766998,6.0999999,17
Aachen,1800.0,Culture,50.766998,6.0999999,206
Aalst (Alost),1400.0,Culture,50.932999,4.033,2
Aalst (Alost),1500.0,Culture,50.932999,4.033,2
Aalst (Alost),1600.0,Culture,50.932999,4.033,5
Aalst (Alost),1700.0,Culture,50.932999,4.033,5
Aalst (Alost),1800.0,Culture,50.932999,4.033,26
Abbeville,1300.0,Culture,50.099998,1.8329999,1
Abbeville,1400.0,Culture,50.099998,1.8329999,2
Abbeville,1500.0,Culture,50.099998,1.8329999,4
Abbeville,1600.0,Culture,50.099998,1.8329999,9
Abbeville,1700.0,Culture,50.099998,1.8329999,21
Abbeville,1800.0,Culture,50.099998,1.8329999,31
Aberdeen,1300.0,Culture,57.150002,-2.1240001,1
Aberdeen,1500.0,Culture,57.150002,-2.1240001,5
Aberdeen,1600.0,Culture,57.150002,-2.1240001,5
Aberdeen,1700.0,Culture,57.150002,-2.1240001,21
Aberdeen,1800.0,Culture,57.150002,-2.1240001,75
Acireale,1600.0,Culture,37.617001,15.167,3
Acireale,1700.0,Culture,37.617001,15.167,4
Acireale,1800.0,Culture,37.617001,15.167,14
"Acra (Akka, Acre, Ptolemeis, Akko, Akkon)",1200.0,Culture,32.924,35.073002,1
"Acra (Akka, Acre, Ptolemeis, Akko, Akkon)",1500.0,Culture,32.924,35.073002,1
"Acra (Akka, Acre, Ptolemeis, Akko, Akkon)",1700.0,Culture,32.924,35.073002,2
"Acra (Akka, Acre, Ptolemeis, Akko, Akkon)",1800.0,Culture,32.924,35.073002,6
Aden (Adan),1800.0,Culture,12.97,45.029999,1
"Adrianople (Edirne, Hadrianopolis, Adrianopel)",1400.0,Culture,41.667,26.566999,3
"Adrianople (Edirne, Hadrianopolis, Adrianopel)",1600.0,Culture,41.667,26.566999,1
"Adrianople (Edirne, Hadrianopolis, Adrianopel)",1800.0,Culture,41.667,26.566999,8
Afragola,1500.0,Culture,40.917,14.3,2
Afragola,1600.0,Culture,40.917,14.3,3
Afragola,1700.0,Culture,40.917,14.3,4
Afragola,1800.0,Culture,40.917,14.3,6
"Afyon (Afyan, Afyan Kara Hissar, Akroenos, Akroinos, Afyun)",1400.0,Culture,38.830002,30.5,1
